지점번호,지점명,일시,습도,최저습도(%rh)
108,서울,2015-06-28,61.8,41
108,서울,2015-06-29,61.8,42
108,서울,2015-06-30,70,45
108,서울,2015-07-01,66.3,38
108,서울,2015-07-02,64.5,28
108,서울,2015-07-03,62.6,32
108,서울,2015-07-04,55.8,29
108,서울,2015-07-05,57.4,38
108,서울,2015-07-06,54.3,30
108,서울,2015-07-07,52.1,34
108,서울,2015-07-08,69.8,47
108,서울,2015-07-09,61.3,43
108,서울,2015-07-10,60.9,39
108,서울,2015-07-11,60.3,40
108,서울,2015-07-12,94.1,71
108,서울,2015-07-13,90.8,76
108,서울,2015-07-14,72.4,47
108,서울,2015-07-15,58.8,35
108,서울,2015-07-16,51.3,38
108,서울,2015-07-17,49.8,37
108,서울,2015-07-18,63.5,44
108,서울,2015-07-19,77.4,51
108,서울,2015-07-20,71.4,54
108,서울,2015-07-21,81.6,67
108,서울,2015-07-22,76.9,60
108,서울,2015-07-23,81,55
108,서울,2015-07-24,96.9,90
108,서울,2015-07-25,95.1,83
108,서울,2015-07-26,85.5,62
108,서울,2015-07-27,86,65
108,서울,2015-07-28,74.4,52
108,서울,2015-07-29,82.9,72
108,서울,2015-07-30,76.4,54
108,서울,2015-07-31,74.3,51
108,서울,2015-08-01,72.8,59
108,서울,2015-08-02,84.3,58
108,서울,2015-08-03,71.5,60
108,서울,2015-08-04,73.3,62
108,서울,2015-08-05,67,45
108,서울,2015-08-06,64.5,42
108,서울,2015-08-07,71.3,45
108,서울,2015-08-08,79.1,49
108,서울,2015-08-09,74.4,49
108,서울,2015-08-10,72.1,45
108,서울,2015-08-11,73.6,47
108,서울,2015-08-12,67.5,35
108,서울,2015-08-13,68.6,40
108,서울,2015-08-14,66.4,38
108,서울,2015-08-15,70.4,50
108,서울,2015-08-16,74.9,51
108,서울,2015-08-17,61.5,35
108,서울,2015-08-18,59.9,33
108,서울,2015-08-19,70.3,54
108,서울,2015-08-20,75.5,58
108,서울,2015-08-21,78.3,53
108,서울,2015-08-22,69.8,43
108,서울,2015-08-23,65.5,40
108,서울,2015-08-24,60.6,48
108,서울,2015-08-25,76.4,57
108,서울,2015-08-26,68.4,50
108,서울,2015-08-27,61.1,29
108,서울,2015-08-28,69.4,46
108,서울,2015-08-29,65.8,32
108,서울,2015-08-30,65.9,35
108,서울,2015-08-31,62.9,37
108,서울,2015-09-01,59.4,41
108,서울,2015-09-02,72.8,58
108,서울,2015-09-03,75.1,48
108,서울,2015-09-04,68.5,36
108,서울,2015-09-05,79.8,72
108,서울,2015-09-06,60.4,47
108,서울,2015-09-07,52.9,34
108,서울,2015-09-08,43.6,22
108,서울,2015-09-09,42.9,28
108,서울,2015-09-10,62.3,41
108,서울,2015-09-11,76.4,56
108,서울,2015-09-12,60.4,29
108,서울,2015-09-13,54.1,27
108,서울,2015-09-14,61.1,36
108,서울,2015-09-15,48.5,27
108,서울,2015-09-16,45.5,31
108,서울,2015-09-17,46.4,28
108,서울,2015-09-18,52.1,31
108,서울,2015-09-19,58.3,30
108,서울,2015-09-20,69,39
108,서울,2015-09-21,62.1,28
108,서울,2015-09-22,48.4,25
108,서울,2015-09-23,57.9,42
108,서울,2015-09-24,56.4,28
108,서울,2015-09-25,56.5,34
108,서울,2015-09-26,54.5,28
108,서울,2015-09-27,39.4,15
108,서울,2015-09-28,39.6,20
108,서울,2015-09-29,36.6,21
108,서울,2015-09-30,45.3,30
108,서울,2015-10-01,77.5,48
108,서울,2015-10-02,53.5,31
108,서울,2015-10-03,49.4,23
108,서울,2015-10-04,38.9,23
108,서울,2015-10-05,49.4,22
108,서울,2015-10-06,57.5,24
108,서울,2015-10-07,67.5,42
108,서울,2015-10-08,61.1,24
108,서울,2015-10-09,43.8,17
108,서울,2015-10-10,70.9,46
108,서울,2015-10-11,72.6,50
108,서울,2015-10-12,56.5,35
108,서울,2015-10-13,66.4,30
108,서울,2015-10-14,64.6,26
108,서울,2015-10-15,62.1,26
108,서울,2015-10-16,71,39
108,서울,2015-10-17,64.8,24
108,서울,2015-10-18,65.1,32
108,서울,2015-10-19,67.4,34
108,서울,2015-10-20,69.5,41
108,서울,2015-10-21,72.5,49
108,서울,2015-10-22,64.8,47
108,서울,2015-10-23,69.1,47
108,서울,2015-10-24,64.4,32
108,서울,2015-10-25,51,32
108,서울,2015-10-26,66.8,47
108,서울,2015-10-27,69.3,38
108,서울,2015-10-28,49,31
108,서울,2015-10-29,50.4,24
108,서울,2015-10-30,41.8,26
108,서울,2015-10-31,42.5,23
108,서울,2015-11-01,48.4,23
108,서울,2015-11-02,60.5,31
108,서울,2015-11-03,67.6,35
108,서울,2015-11-04,62,34
108,서울,2015-11-05,63.9,40
108,서울,2015-11-06,63.9,45
108,서울,2015-11-07,91.5,86
108,서울,2015-11-08,90.6,81
108,서울,2015-11-09,87.6,75
108,서울,2015-11-10,80,55
108,서울,2015-11-11,72.4,51
108,서울,2015-11-12,63.5,42
108,서울,2015-11-13,83.8,61
108,서울,2015-11-14,97.3,91
108,서울,2015-11-15,84.5,61
108,서울,2015-11-16,85.1,66
108,서울,2015-11-17,69.6,39
108,서울,2015-11-18,70.6,58
108,서울,2015-11-19,72.8,65
108,서울,2015-11-20,72.6,52
108,서울,2015-11-21,55.9,35
108,서울,2015-11-22,66.5,42
108,서울,2015-11-23,80.9,67
108,서울,2015-11-24,69.5,55
108,서울,2015-11-25,86.8,73
108,서울,2015-11-26,63.8,50
108,서울,2015-11-27,59.1,45
108,서울,2015-11-28,70.8,52
108,서울,2015-11-29,87.9,76
108,서울,2015-11-30,69.1,28
108,서울,2015-12-01,57.8,29
108,서울,2015-12-02,71.4,51
108,서울,2015-12-03,79.3,55
108,서울,2015-12-04,63.9,49
108,서울,2015-12-05,51.4,25
108,서울,2015-12-06,46.4,20
108,서울,2015-12-07,51.1,37
108,서울,2015-12-08,55.9,34
108,서울,2015-12-09,57.4,38
108,서울,2015-12-10,74.8,58
108,서울,2015-12-11,56.5,33
108,서울,2015-12-12,50.1,33
108,서울,2015-12-13,50.5,30
108,서울,2015-12-14,75.6,55
108,서울,2015-12-15,69.8,49
108,서울,2015-12-16,50.9,35
108,서울,2015-12-17,43.4,27
108,서울,2015-12-18,61.9,48
108,서울,2015-12-19,66.3,37
108,서울,2015-12-20,56.9,39
108,서울,2015-12-21,76,49
108,서울,2015-12-22,67.9,42
108,서울,2015-12-23,59.6,30
108,서울,2015-12-24,67.5,47
108,서울,2015-12-25,46.3,19
108,서울,2015-12-26,73.3,58
108,서울,2015-12-27,39,21
108,서울,2015-12-28,38.4,21
108,서울,2015-12-29,47.6,31
108,서울,2015-12-30,67.6,42
108,서울,2015-12-31,81.3,59
108,서울,2016-01-01,73,56
108,서울,2016-01-02,76.9,62
108,서울,2016-01-03,80.6,61
108,서울,2016-01-04,54.4,28
108,서울,2016-01-05,39.4,22
108,서울,2016-01-06,54.3,42
108,서울,2016-01-07,51.8,25
108,서울,2016-01-08,49.8,24
108,서울,2016-01-09,57.1,32
108,서울,2016-01-10,42.3,20
108,서울,2016-01-11,38.3,22
108,서울,2016-01-12,46,23
108,서울,2016-01-13,63,31
108,서울,2016-01-14,52.1,24
108,서울,2016-01-15,52.3,28
108,서울,2016-01-16,68,53
108,서울,2016-01-17,64,47
108,서울,2016-01-18,59.8,31
108,서울,2016-01-19,45.9,29
108,서울,2016-01-20,43.6,30
108,서울,2016-01-21,44.3,28
108,서울,2016-01-22,40.5,25
108,서울,2016-01-23,42,27
108,서울,2016-01-24,48.5,31
108,서울,2016-01-25,47.1,26
108,서울,2016-01-26,64.5,45
108,서울,2016-01-27,56.3,34
108,서울,2016-01-28,51.5,29
108,서울,2016-01-29,43.6,27
108,서울,2016-01-30,59.5,46
108,서울,2016-01-31,34,17
108,서울,2016-02-01,36,20
108,서울,2016-02-02,41.8,23
108,서울,2016-02-03,49.6,29
108,서울,2016-02-04,50.1,18
108,서울,2016-02-05,39.4,17
108,서울,2016-02-06,38.6,25
108,서울,2016-02-07,46.5,20
108,서울,2016-02-08,62.1,45
108,서울,2016-02-09,52.5,26
108,서울,2016-02-10,38.5,17
108,서울,2016-02-11,29.3,19
108,서울,2016-02-12,95.3,57
108,서울,2016-02-13,95,80
108,서울,2016-02-14,73.1,54
108,서울,2016-02-15,48.4,29
108,서울,2016-02-16,65.6,52
108,서울,2016-02-17,53.9,30
108,서울,2016-02-18,66.4,51
108,서울,2016-02-19,56.4,28
108,서울,2016-02-20,37.1,23
108,서울,2016-02-21,36.4,23
108,서울,2016-02-22,36.6,21
108,서울,2016-02-23,56,25
108,서울,2016-02-24,42,23
108,서울,2016-02-25,49.9,30
108,서울,2016-02-26,41.3,16
108,서울,2016-02-27,57.6,26
108,서울,2016-02-28,65.5,31
108,서울,2016-02-29,48.6,33
108,서울,2016-03-01,47.3,27
108,서울,2016-03-02,67.9,48
108,서울,2016-03-03,65.1,43
108,서울,2016-03-04,55.3,37
108,서울,2016-03-05,91.3,73
108,서울,2016-03-06,51,16
108,서울,2016-03-07,36.9,28
108,서울,2016-03-08,40.4,19
108,서울,2016-03-09,37.5,18
108,서울,2016-03-10,37.8,20
108,서울,2016-03-11,43.8,21
108,서울,2016-03-12,55.6,43
108,서울,2016-03-13,68.1,54
108,서울,2016-03-14,57,31
108,서울,2016-03-15,43.4,16
108,서울,2016-03-16,45.1,19
108,서울,2016-03-17,40.9,18
108,서울,2016-03-18,50,32
108,서울,2016-03-19,58.3,33
108,서울,2016-03-20,54,29
108,서울,2016-03-21,54.1,30
108,서울,2016-03-22,58.1,20
108,서울,2016-03-23,49.6,22
108,서울,2016-03-24,36.5,20
108,서울,2016-03-25,43.9,25
108,서울,2016-03-26,54.5,25
108,서울,2016-03-27,55.6,20
108,서울,2016-03-28,47.8,18
108,서울,2016-03-29,57.8,34
108,서울,2016-03-30,49.9,21
108,서울,2016-03-31,27,15
108,서울,2016-04-01,26,15
108,서울,2016-04-02,40.8,22
108,서울,2016-04-03,75.1,59
108,서울,2016-04-04,42.6,14
108,서울,2016-04-05,45.1,16
